x,y,z,ax,ay,az,aw,s,ss
1017.74,1148.1,0.0,0.0,0.0,0.1889274837799784,0.981991041645781,110.85689326436969,1.7678235206037292
1018.56,1148.43,0.0,0.0,0.0,0.1888906348259317,0.9819981303826686,111.74080502467159,0.8839117603018967
1018.97,1148.59,0.0,0.0,0.0,0.18938164644248204,0.981903555340714,112.18091864636492,0.44011362169333107
1020.2,1149.08,0.0,0.0,0.0,0.18986061564061715,0.9818110544440646,113.50492770977802,1.3240090634131074
1021.02,1149.41,0.0,0.0,0.0,0.19021531503252787,0.9817423969285813,114.38883947007992,0.8839117603018967
1021.84,1149.74,0.0,0.0,0.0,0.19000027074555106,0.9817840379210783,115.27275123038183,0.8839117603019173
1022.66,1150.07,0.0,0.0,0.0,0.19031383820717768,0.9817233026606083,116.15666299068364,0.8839117603018117
1023.89,1150.57,0.0,0.0,0.0,0.19001312228232897,0.9817815507334209,117.48440543558779,1.3277424449041482
1024.71,1150.89,0.0,0.0,0.0,0.18950846197805912,0.9818790876878428,118.36463267897452,0.8802272433867215
1025.53,1151.22,0.0,0.0,0.0,0.1905888363203585,0.9816699524127503,119.24854443927633,0.8839117603018117
1026.76,1151.72,0.0,0.0,0.0,0.1893062410915463,0.9819180959142109,120.57628688418048,1.3277424449041482
1027.58,1152.04,0.0,0.0,0.0,0.18887778050332238,0.9820006028675027,121.456514127567,0.8802272433865331
1027.99,1152.21,0.0,0.0,0.0,0.18887778050332238,0.9820006028675027,121.90036094799055,0.4438468204235464
1028.81,1152.54,0.0,0.0,0.0,0.18987346748196288,0.9818085690939838,122.78427270829236,0.8839117603018117
1030.04,1153.03,0.0,0.0,0.0,0.1904192130810653,0.9817028691460506,124.10828177170546,1.3240090634131074
1030.86,1153.36,0.0,0.0,0.0,0.1912869730305167,0.9815341532258683,124.99219353200728,0.8839117603018117
1031.67,1153.69,0.0,0.0,0.0,0.19108396652585105,0.9815736945012062,125.86683631623428,0.8746427842270134
1032.49,1154.02,0.0,0.0,0.0,0.19122444445087106,0.9815463370847327,126.7507480765361,0.8839117603018117
1033.72,1154.52,0.0,0.0,0.0,0.1922941750806013,0.981337327441523,128.07849052144024,1.3277424449041482
1034.54,1154.85,0.0,0.0,0.0,0.19252453552847124,0.9812921599704884,128.96240228174204,0.8839117603018117
1034.94,1155.02,0.0,0.0,0.0,0.19300234985943227,0.9811982944077804,129.39702855798416,0.4346262762421268
1035.76,1155.36,0.0,0.0,0.0,0.19406913180661256,0.9809878552152558,130.28472219883096,0.8876936408467957
1036.99,1155.86,0.0,0.0,0.0,0.19536505717871913,0.9807305921778702,131.6124646437351,1.3277424449041482
1037.81,1156.2,0.0,0.0,0.0,0.19536505717871913,0.9807305921778702,132.500158284582,0.8876936408468828
1038.62,1156.54,0.0,0.0,0.0,0.19607279328087937,0.9805893430662163,133.37862285415773,0.8784645695757205
1039.85,1157.05,0.0,0.0,0.0,0.19719965418317595,0.9803633491670504,134.71016331542808,1.331540461270342
1040.66,1157.39,0.0,0.0,0.0,0.19828861993113686,0.9801436747772263,135.5886278850041,0.8784645695760182
1041.47,1157.74,0.0,0.0,0.0,0.199138749929742,0.9799713048229625,136.47101102174224,0.8823831367381451
1041.88,1157.91,0.0,0.0,0.0,0.1993499763038208,0.9799283580689284,136.9148578421658,0.4438468204235464
1043.1,1158.43,0.0,0.0,0.0,0.19992289190261087,0.9798116335772387,138.24105541417362,1.3261975720078412
